court,surface,round_imp,best_of,player0,player1,player0_rank,player1_rank,winner
Indoor,Carpet,7,3,Sargsian S.,Ferrero J.C.,13.0,59.0,player1
Indoor,Carpet,7,3,Monaco J.,Johansson J.,14.0,70.0,player1
Indoor,Carpet,7,3,Llodra M.,Melzer J.,36.0,40.0,player1
Indoor,Carpet,7,3,Nadal R.,Benneteau J.,75.0,50.0,player1
Indoor,Carpet,7,3,Schuettler R.,Arazi H.,41.0,15.0,player1
Indoor,Carpet,6,3,Lopez F.,Soderling R.,47.0,30.0,player1
Indoor,Carpet,6,3,Mirnyi M.,Bjorkman J.,49.0,61.0,player1
Indoor,Carpet,6,3,Stepanek R.,Malisse X.,58.0,74.0,player1
Indoor,Carpet,6,3,Ljubicic I.,Spadea V.,25.0,29.0,player1
Indoor,Carpet,6,3,Calleri A.,Youzhny M.,32.0,56.0,player1
Indoor,Carpet,6,3,Ferrero J.C.,Ferrer D.,46.0,13.0,player1
Indoor,Carpet,6,3,Benneteau J.,Johansson J.,14.0,75.0,player1
Indoor,Carpet,6,3,Arazi H.,Melzer J.,36.0,41.0,player1
Indoor,Carpet,3,3,Youzhny M.,Malisse X.,58.0,32.0,player1
Indoor,Carpet,3,3,Johansson J.,Soderling R.,47.0,14.0,player1
Indoor,Carpet,3,3,Bjorkman J.,Ferrer D.,46.0,49.0,player1
Indoor,Carpet,3,3,Melzer J.,Spadea V.,25.0,36.0,player1
Indoor,Carpet,2,3,Ferrer D.,Malisse X.,58.0,46.0,player1
Indoor,Carpet,2,3,Spadea V.,Soderling R.,47.0,25.0,player1
Indoor,Carpet,1,3,Malisse X.,Soderling R.,47.0,58.0,player1
Outdoor,Hard,7,3,Lu Y.H.,Levy H.,187.0,90.0,player1
Outdoor,Hard,7,3,Garcia A.,Suzuki T.,231.0,111.0,player1
Outdoor,Hard,7,3,Tipsarevic J.,Bogomolov A.,101.0,107.0,player1
Outdoor,Hard,7,3,Philippoussis M.,Zib T.,129.0,104.0,player1
Outdoor,Hard,7,3,Lisnard J.R.,Arthurs W.,98.0,123.0,player1
Outdoor,Hard,7,3,Morrison J.,Wang Y.T.,175.0,102.0,player1
Outdoor,Hard,7,3,Pless K.,Thomann N.,480.0,254.0,player1
Outdoor,Hard,7,3,Weiner G.,Motomura G.,315.0,127.0,player1
Outdoor,Hard,7,3,Rochus C.,Gimelstob J.,222.0,118.0,player1
Outdoor,Hard,7,3,Iwami T.,Phau B.,207.0,324.0,player1
Outdoor,Hard,7,3,Okun N.,Ulihrach B.,140.0,147.0,player1
Outdoor,Hard,7,3,Burgsmuller L.,Garcia-Lopez G.,128.0,99.0,player1
Outdoor,Hard,7,3,Peya A.,Chiudinelli M.,148.0,116.0,player1
Outdoor,Hard,7,3,Vacek J.,Saretta F.,115.0,142.0,player1
Outdoor,Hard,7,3,Carlsen K.,Kohlmann M.,300.0,89.0,player1
Outdoor,Hard,7,3,Iwabuchi S.,Terachi T.,329.0,336.0,player1
Outdoor,Hard,6,3,Hernych J.,Suzuki T.,231.0,85.0,player1
Outdoor,Hard,6,3,Thomann N.,Saulnier C.,64.0,480.0,player1
Outdoor,Hard,6,3,Bogomolov A.,Muller G.,78.0,101.0,player1
